"spk" "vow" "F1" "F2" "F3" "F4"
"1" "VT09" "I" 459.810303 1810.474976 2503.494629 3612.773682
"2" "VT09" "@:" 432.834503 1642.516235 2262.123291 3396.223633
"3" "VT09" "u:" 324.486206 1599.55249 2114.003418 3309.11084
"4" "VT09" "o:" 403.570374 794.377991 2260.617676 3146.311768
"5" "VT09" "O" 574.475525 1031.789063 2320.509521 3348.091064
"6" "VT09" "a:" 681.682983 1359.34436 2463.103027 3702.009033
"7" "VT09" "A" 555.653015 1899.218506 2540.356201 3711.015869
"8" "VT09" "E" 397.93869 2139.05127 2825.537842 3942.479492
"9" "VT09" "i:" 286.084747 2260.89502 2992.625977 3773.21875
"10" "VT09" "O" 570.072876 1078.168945 2079.589355 3392.604248
"11" "VT09" "I" 429.070984 1712.935059 2465.676758 3502.489746
"12" "VT09" "a:" 701.532104 1282.704102 2414.633057 3264.625977
"13" "VT09" "@:" 419.854156 1684.776367 2271.669189 3324.13916
"14" "VT09" "A" 559.263123 1899.641113 2583.534668 3420.436279
"15" "VT09" "u:" 327.173981 1706.409546 2107.33374 3321.165771
"16" "VT09" "E" 388.196136 2115.391846 2764.921143 3400.570557
"17" "VT09" "o:" 430.61087 752.027039 2304.121094 3283.343506
"18" "VT09" "i:" 271.020996 2217.859375 2982.364746 3540.949951
"19" "VT09" "E" 403.338654 2088.494141 2699.283936 3644.580811
"20" "VT09" "o:" 406.052246 819.185913 2257.522705 3282.172852
"21" "VT09" "A" 562.679138 1853.606812 2551.445313 3471.395752
"22" "VT09" "i:" 312.588501 2224.829102 3011.230469 3656.902344
"23" "VT09" "O" 600.370911 1113.709229 2307.903076 3400.285156
"24" "VT09" "u:" 311.030914 1685.163208 3329.280762 3552.220947
"25" "VT09" "I" 412.736908 1871.283447 2557.212402 3522.248291
"26" "VT09" "a:" 714.650696 1332.786377 2488.020752 3533.336914
"27" "VT09" "@:" 432.269623 1639.586548 2283.540527 3426.623291
"28" "VT09" "O" 600.278015 1068.638062 2300.307373 3429.578857
"29" "VT09" "@:" 423.152283 1672.345337 2338.668945 3456.161133
"30" "VT09" "i:" 297.235962 2265.127441 3173.146484 3600.112061
"31" "VT09" "a:" 735.424744 1361.776611 2461.135986 3587.733398
"32" "VT09" "A" 559.539063 1888.739502 2604.403076 3538.045898
"33" "VT09" "I" 437.902985 1771.831665 2477.825439 3749.091797
"34" "VT09" "o:" 441.96106 836.753479 2379.500488 3346.640625
"35" "VT09" "u:" 335.827423 1702.904053 2180.074707 3422.891846
"36" "VT09" "E" 397.794159 2121.847168 2910.986572 3627.528809
"37" "VT09" "i:" 331.217377 2184.829346 3497.504639 3881.092529
"38" "VT09" "E" 414.126709 2053.906006 2676.357666 3536.849854
"39" "VT09" "A" 529.923828 1964.798096 2557.13501 3500.382568
"40" "VT09" "a:" 747.267639 1467.22937 2580.348389 3637.010254
"41" "VT09" "O" 589.825134 1063.23877 2277.540283 3473.137939
"42" "VT09" "o:" 436.059418 803.855896 2316.902588 3335.27002
"43" "VT09" "u:" 322.537537 1691.255127 2083.940186 3319.062012
"44" "VT09" "@:" 421.059174 1728.606689 2288.895264 3380.574951
"45" "VT09" "I" 430.749634 1681.385986 2540.099854 3811.470703
"46" "VT08" "I" 484.098816 1996.300171 2966.170166 4358.123535
"47" "VT08" "@:" 460.309143 2018.271973 2685.051514 3790.533691
"48" "VT08" "u:" 274.327423 1839.255981 2481.983154 3565.287354
"49" "VT08" "o:" 477.576996 900 2958.633301 4440.776855
"50" "VT08" "O" 646.47113 1147.646484 3017.274902 3826.34082
"51" "VT08" "a:" 764.181396 1460.070679 3085.716797 4220.693359
"52" "VT08" "A" 606.475769 2247.650391 3020.770996 4278.223633
"53" "VT08" "E" 404.695435 2615.031494 3059.140625 3754.624023
"54" "VT08" "i:" 227.284988 2781.81958 3230.218994 4687.945801
"55" "VT08" "O" 653.362671 1153.781738 3033.72168 4124.163574
"56" "VT08" "I" 448.935883 2025.041138 2915.441162 4306.380859
"57" "VT08" "a:" 828 1484.27771 3077.22583 4196.17334
"58" "VT08" "@:" 393.807953 1981.41626 2558.211182 3576.035156
"59" "VT08" "A" 589.382202 2219.01123 2907.845215 4195.385254
"60" "VT08" "u:" 284.930786 1970.546997 2448.010254 3516.260742
"61" "VT08" "E" 388.863312 2707.70874 3118.505859 3727.15332
"62" "VT08" "o:" 512.497803 1592.208618 3045.327637 4476.416504
"63" "VT08" "i:" 238.492767 2737.96875 3283.404541 4725.020996
"64" "VT08" "E" 459.961121 2589.856689 2956.395264 3503.668213
"65" "VT08" "o:" 468.906952 760 3041.484131 4505.419434
"66" "VT08" "A" 632.359741 2214.27124 2621.626709 4352.220703
"67" "VT08" "a:" 918.025696 1521.036499 3063.196045 4131.128418
"68" "VT08" "O" 632.981323 1100.053955 3019.072021 4044.616699
"69" "VT08" "u:" 291.633423 1863.798584 2466.394287 3564.890869
"70" "VT08" "I" 421.470886 2101.303223 2949.521484 4218.625
