"","SF2","SF3","SM1","SM2","SM3"
"table",NA,NA,NA,NA,NA
"","PC1",NA,NA,NA,NA
"SF1","0.878060583101959","0.934601553018569","0.987960404002805","0.962302122648413","0.971029141538716"
"SF2",NA,"0.905433128670975","0.886524910314334","0.946857643619286","0.859097640935019"
"SF3",NA,NA,"0.927082682651101","0.960686496050183","0.911610441545144"
"SM1",NA,NA,NA,"0.958862207360324","0.983459480698462"
"SM2",NA,NA,NA,NA,"0.949100740610881"
"","PC1 absolute values",NA,NA,NA,NA
"SF1","0.878060583101959","0.934601553018569","0.987960404002805","0.962302122648413","0.971029141538716"
"SF2",NA,"0.905433128670975","0.886524910314334","0.946857643619286","0.859097640935019"
"SF3",NA,NA,"0.927082682651101","0.960686496050183","0.911610441545144"
"SM1",NA,NA,NA,"0.958862207360324","0.983459480698462"
"SM2",NA,NA,NA,NA,"0.949100740610881"
"","PC1 p-values",NA,NA,NA,NA
"SF1","0.000377972983792609","2.49055730465192e-05","1.32636983304322e-08","8.44233102133311e-06","6.73174163765457e-07"
"SF2",NA,"0.000125421927587271","0.000276929356406872","3.27169655593138e-05","0.000703958667177125"
"SF3",NA,NA,"4.01959161361931e-05","9.9656992254362e-06","9.33961435453335e-05"
"SM1",NA,NA,NA,"1.19217431027052e-05","5.50260462264032e-08"
"SM2",NA,NA,NA,NA,"2.76087862882837e-05"
"","PC2",NA,NA,NA,NA
"SF1","-0.395060013198935","0.88264488265452","0.720886833461985","0.763876047826666","-0.604705681570738"
"SF2",NA,"-0.69461835413833","-0.766797496547514","-0.718505367985763","0.557409327618147"
"SF3",NA,NA,"0.823292900039729","0.742141271604238","-0.643737775751409"
"SM1",NA,NA,NA,"0.886944175078796","-0.74723992358808"
"SM2",NA,NA,NA,NA,"-0.928071677581113"
"","PC2 absolute values",NA,NA,NA,NA
"SF1","0.395060013198935","0.88264488265452","0.720886833461985","0.763876047826666","0.604705681570738"
"SF2",NA,"0.69461835413833","0.766797496547514","0.718505367985763","0.557409327618147"
"SF3",NA,NA,"0.823292900039729","0.742141271604238","0.643737775751409"
"SM1",NA,NA,NA,"0.886944175078796","0.74723992358808"
"SM2",NA,NA,NA,NA,"0.928071677581113"
"","PC2 p-values",NA,NA,NA,NA
"SF1","0.229167552790856","0.000320298416252743","0.0123090098153866","0.0101127832606705","0.0487409677098436"
"SF2",NA,"0.0176889150965767","0.00589576440929789","0.0192353894717494","0.0748246247317534"
"SF3",NA,NA,"0.00184671124885943","0.0139764734819017","0.0325729970407223"
"SM1",NA,NA,NA,"0.000622269866272724","0.00821426337864621"
"SM2",NA,NA,NA,NA,"0.000107297599131778"
"","PC3",NA,NA,NA,NA
"SF1","0.133418672154325","-0.616351908810273","-0.155803988397697","0.513186105399981","0.560799816078361"
"SF2",NA,"0.238093125504726","-0.0914328159501608","0.320334393447404","0.055168051113096"
"SF3",NA,NA,"0.278538956546264","0.444062939068752","-0.449687819846229"
"SM1",NA,NA,NA,"0.0841305611499521","-0.667097999484513"
"SM2",NA,NA,NA,NA,"0.20727458875324"
"","PC3 absolute values",NA,NA,NA,NA
"SF1","0.133418672154325","0.616351908810273","0.155803988397697","0.513186105399981","0.560799816078361"
"SF2",NA,"0.238093125504726","0.0914328159501608","0.320334393447404","0.055168051113096"
"SF3",NA,NA,"0.278538956546264","0.444062939068752","0.449687819846229"
"SM1",NA,NA,NA,"0.0841305611499521","0.667097999484513"
"SM2",NA,NA,NA,NA,"0.20727458875324"
"","PC3 p-values",NA,NA,NA,NA
"SF1","0.695738686788667","0.0434404930344252","0.647343435806988","0.129264383811379","0.0726988122203281"
"SF2",NA,"0.480803440860385","0.789188502900324","0.366854545817013","0.872012252243176"
"SF3",NA,NA,"0.406879801135698","0.198562908281755","0.165225412765925"
"SM1",NA,NA,NA,"0.817261470019945","0.0249428086928105"
"SM2",NA,NA,NA,NA,"0.565569706804296"
