"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","PC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.701551825855043","0.918930251227593","-0.831879587901072","-0.901013580141054","-0.798195321891939","0.916066276274364","0.90372002902187","-0.813938625995121","0.64852596737298","-0.784519775066452","-0.861064948914605"
"VT02",NA,"0.642859828833376","-0.525295827583607","-0.606525497265212","-0.300412495736254","0.545379191457225","0.585340584502537","-0.548719432149843","0.760845102507015","-0.478967460563046","-0.546798823914744"
"VT03",NA,NA,"-0.925047480817559","-0.878179653919399","-0.82687093335807","0.890616817894563","0.943703927860431","-0.939099988929438","0.518390658533439","-0.929287660330966","-0.940498392601886"
"VT04",NA,NA,NA,"0.880403027748615","0.893355066390054","-0.900141141000996","-0.882859282527743","0.886467127686896","-0.501320849796766","0.925356366777799","0.945733816270584"
"VT05",NA,NA,NA,NA,"0.878966422933826","-0.93864976992842","-0.810216670020869","0.873248696156615","-0.659078394522125","0.879253580830148","0.917248892292983"
"VT06",NA,NA,NA,NA,NA,"-0.930263753182335","-0.798664377175064","0.847642865593092","-0.452028714989841","0.898497834918709","0.897968842750202"
"VT07",NA,NA,NA,NA,NA,NA,"0.841525140753404","-0.882883590452007","0.643948368720374","-0.882011698071347","-0.958869220620214"
"VT08",NA,NA,NA,NA,NA,NA,NA,"-0.847772329077329","0.510208641626613","-0.85888806247124","-0.847113475143312"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"-0.589027617701237","0.979278151710324","0.943884483644766"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.508425684446884","-0.545699420544003"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.94791177177863"
"","PC1 absolute values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.701551825855043","0.918930251227593","0.831879587901072","0.901013580141054","0.798195321891939","0.916066276274364","0.90372002902187","0.813938625995121","0.64852596737298","0.784519775066452","0.861064948914605"
"VT02",NA,"0.642859828833376","0.525295827583607","0.606525497265212","0.300412495736254","0.545379191457225","0.585340584502537","0.548719432149843","0.760845102507015","0.478967460563046","0.546798823914744"
"VT03",NA,NA,"0.925047480817559","0.878179653919399","0.82687093335807","0.890616817894563","0.943703927860431","0.939099988929438","0.518390658533439","0.929287660330966","0.940498392601886"
"VT04",NA,NA,NA,"0.880403027748615","0.893355066390054","0.900141141000996","0.882859282527743","0.886467127686896","0.501320849796766","0.925356366777799","0.945733816270584"
"VT05",NA,NA,NA,NA,"0.878966422933826","0.93864976992842","0.810216670020869","0.873248696156615","0.659078394522125","0.879253580830148","0.917248892292983"
"VT06",NA,NA,NA,NA,NA,"0.930263753182335","0.798664377175064","0.847642865593092","0.452028714989841","0.898497834918709","0.897968842750202"
"VT07",NA,NA,NA,NA,NA,NA,"0.841525140753404","0.882883590452007","0.643948368720374","0.882011698071347","0.958869220620214"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.847772329077329","0.510208641626613","0.85888806247124","0.847113475143312"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.589027617701237","0.979278151710324","0.943884483644766"
