"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","PC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","-0.940005048145805","-0.947483724912176","0.909601320867787","-0.948450250566151","-0.847216473634491","-0.94757966202334","-0.930509255871435","-0.840054761917956","0.740952512036695","-0.922022713040884","-0.955272427383136"
"VT02",NA,"0.958442615963029","-0.897200387463761","0.893041056887493","0.891447509332694","0.948365311226501","0.931274016511769","0.854907455577221","-0.681604201800614","0.904029499750384","0.96543329857326"
"VT03",NA,NA,"-0.921742493188565","0.910914297655706","0.925102277257304","0.96058665781287","0.993650262085135","0.793431474370419","-0.6577480200739","0.885346572570821","0.945949393929992"
"VT04",NA,NA,NA,"-0.892954272221471","-0.918119961787179","-0.925629936729171","-0.91519166461535","-0.64969828671248","0.469829231883465","-0.919791106005041","-0.905732273147434"
"VT05",NA,NA,NA,NA,"0.869781347313222","0.928903741783941","0.918612267978883","0.848234733576513","-0.728845602672029","0.912658717692402","0.943929802236056"
"VT06",NA,NA,NA,NA,NA,"0.920901183931424","0.942110100907838","0.70063242140249","-0.59097204010941","0.921242092630626","0.920995649195025"
"VT07",NA,NA,NA,NA,NA,NA,"0.956994164179888","0.770765021156215","-0.662578918395625","0.898028560945003","0.935326854959835"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.77359216841845","-0.657082889308841","0.882293439719526","0.934713593250291"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"-0.862790400091493","0.794339196500047","0.895862460127172"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.665800754779156","-0.764208769531876"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.95680702260476"
"","PC1 absolute values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.940005048145805","0.947483724912176","0.909601320867787","0.948450250566151","0.847216473634491","0.94757966202334","0.930509255871435","0.840054761917956","0.740952512036695","0.922022713040884","0.955272427383136"
"VT02",NA,"0.958442615963029","0.897200387463761","0.893041056887493","0.891447509332694","0.948365311226501","0.931274016511769","0.854907455577221","0.681604201800614","0.904029499750384","0.96543329857326"
"VT03",NA,NA,"0.921742493188565","0.910914297655706","0.925102277257304","0.96058665781287","0.993650262085135","0.793431474370419","0.6577480200739","0.885346572570821","0.945949393929992"
"VT04",NA,NA,NA,"0.892954272221471","0.918119961787179","0.925629936729171","0.91519166461535","0.64969828671248","0.469829231883465","0.919791106005041","0.905732273147434"
"VT05",NA,NA,NA,NA,"0.869781347313222","0.928903741783941","0.918612267978883","0.848234733576513","0.728845602672029","0.912658717692402","0.943929802236056"
"VT06",NA,NA,NA,NA,NA,"0.920901183931424","0.942110100907838","0.70063242140249","0.59097204010941","0.921242092630626","0.920995649195025"
"VT07",NA,NA,NA,NA,NA,NA,"0.956994164179888","0.770765021156215","0.662578918395625","0.898028560945003","0.935326854959835"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.77359216841845","0.657082889308841","0.882293439719526","0.934713593250291"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.862790400091493","0.794339196500047","0.895862460127172"
