"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","PC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.806190842407369","-0.775313387451389","0.793424581301679","-0.828055111690075","-0.69873662776892","-0.687953245628877","-0.809363649284315","-0.877719744768872","-0.895989933947761","-0.916948069831873","0.930187058789559"
"VT02",NA,"-0.616754611221218","0.579734341550324","-0.549320461571116","-0.701130430034919","-0.642900760915958","-0.767012418788985","-0.818830543698532","-0.748911578951557","-0.819980672629606","0.719351647743864"
"VT03",NA,NA,"-0.696369257384251","0.869949064860526","0.641901301320582","0.534633553650599","0.848803010802903","0.77854089105353","0.636077604447649","0.731800146620612","-0.794282518538539"
"VT04",NA,NA,NA,"-0.676775891695666","-0.432041270330121","-0.406824217864978","-0.671042877045299","-0.670844604068521","-0.786951741392627","-0.853792831467229","0.790215489612815"
"VT05",NA,NA,NA,NA,"0.741956611034766","0.75862457710464","0.754733551697089","0.841918620752963","0.701791791681261","0.706242158856045","-0.85536208435833"
"VT06",NA,NA,NA,NA,NA,"0.647816417821184","0.692617775270774","0.740118615095305","0.518786833471944","0.679328923295285","-0.685801913409393"
"VT07",NA,NA,NA,NA,NA,NA,"0.432709194002105","0.782236933527358","0.707189983818994","0.466487328876478","-0.656206558770808"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.786331252166085","0.593618317491351","0.880028131783316","-0.758422986563243"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.873238799420486","0.835970566017848","-0.929293123968299"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.805944526013576","-0.922160943555193"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.875175881780315"
"","PC1 absolute values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.806190842407369","0.775313387451389","0.793424581301679","0.828055111690075","0.69873662776892","0.687953245628877","0.809363649284315","0.877719744768872","0.895989933947761","0.916948069831873","0.930187058789559"
"VT02",NA,"0.616754611221218","0.579734341550324","0.549320461571116","0.701130430034919","0.642900760915958","0.767012418788985","0.818830543698532","0.748911578951557","0.819980672629606","0.719351647743864"
"VT03",NA,NA,"0.696369257384251","0.869949064860526","0.641901301320582","0.534633553650599","0.848803010802903","0.77854089105353","0.636077604447649","0.731800146620612","0.794282518538539"
"VT04",NA,NA,NA,"0.676775891695666","0.432041270330121","0.406824217864978","0.671042877045299","0.670844604068521","0.786951741392627","0.853792831467229","0.790215489612815"
"VT05",NA,NA,NA,NA,"0.741956611034766","0.75862457710464","0.754733551697089","0.841918620752963","0.701791791681261","0.706242158856045","0.85536208435833"
"VT06",NA,NA,NA,NA,NA,"0.647816417821184","0.692617775270774","0.740118615095305","0.518786833471944","0.679328923295285","0.685801913409393"
"VT07",NA,NA,NA,NA,NA,NA,"0.432709194002105","0.782236933527358","0.707189983818994","0.466487328876478","0.656206558770808"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.786331252166085","0.593618317491351","0.880028131783316","0.758422986563243"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.873238799420486","0.835970566017848","0.929293123968299"
