"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"table",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","PC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.933567661822028","0.836753352874509","0.765339869993144","0.788306270986777","0.922930396101217","0.719193735429463","0.874053123892326","-0.916742383911732","-0.849081701177133","-0.900444339708852","0.918434082878884"
"VT02",NA,"0.882969940297036","0.72738480782703","0.755387766420172","0.929745697556821","0.685311541608201","0.887967987671513","-0.928731971121118","-0.785047470461742","-0.881101788263601","0.951563387882232"
"VT03",NA,NA,"0.660539987760716","0.891170971529091","0.953546193569405","0.726332255515018","0.946078571431904","-0.880961532352883","-0.738363205113073","-0.810449108898369","0.874425849699891"
"VT04",NA,NA,NA,"0.494927160891325","0.786420698642205","0.385515906263087","0.651045159660977","-0.664330610412188","-0.706454143517861","-0.879382574166766","0.710285987880459"
"VT05",NA,NA,NA,NA,"0.827531814697879","0.811050956051805","0.881272866301232","-0.851953240321747","-0.815517634444423","-0.696895398407771","0.811107936891915"
"VT06",NA,NA,NA,NA,NA,"0.654431109626398","0.965197435654907","-0.928009946002967","-0.804940587912248","-0.930057241934663","0.917573795392236"
"VT07",NA,NA,NA,NA,NA,NA,"0.611283075207424","-0.803613911617587","-0.751924334511662","-0.541347266780307","0.753169046195796"
"VT08",NA,NA,NA,NA,NA,NA,NA,"-0.891502412886919","-0.758394497105078","-0.871422330259314","0.878476364231926"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.881418109286712","0.867832406026335","-0.948092582053072"
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.815685995234535","-0.906447866512426"
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.893942485866799"
"","PC1 absolute values",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VT01","0.933567661822028","0.836753352874509","0.765339869993144","0.788306270986777","0.922930396101217","0.719193735429463","0.874053123892326","0.916742383911732","0.849081701177133","0.900444339708852","0.918434082878884"
"VT02",NA,"0.882969940297036","0.72738480782703","0.755387766420172","0.929745697556821","0.685311541608201","0.887967987671513","0.928731971121118","0.785047470461742","0.881101788263601","0.951563387882232"
"VT03",NA,NA,"0.660539987760716","0.891170971529091","0.953546193569405","0.726332255515018","0.946078571431904","0.880961532352883","0.738363205113073","0.810449108898369","0.874425849699891"
"VT04",NA,NA,NA,"0.494927160891325","0.786420698642205","0.385515906263087","0.651045159660977","0.664330610412188","0.706454143517861","0.879382574166766","0.710285987880459"
"VT05",NA,NA,NA,NA,"0.827531814697879","0.811050956051805","0.881272866301232","0.851953240321747","0.815517634444423","0.696895398407771","0.811107936891915"
"VT06",NA,NA,NA,NA,NA,"0.654431109626398","0.965197435654907","0.928009946002967","0.804940587912248","0.930057241934663","0.917573795392236"
"VT07",NA,NA,NA,NA,NA,NA,"0.611283075207424","0.803613911617587","0.751924334511662","0.541347266780307","0.753169046195796"
"VT08",NA,NA,NA,NA,NA,NA,NA,"0.891502412886919","0.758394497105078","0.871422330259314","0.878476364231926"
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,"0.881418109286712","0.867832406026335","0.948092582053072"
