"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",-0.927794364556159,-0.845333475586054,-0.810143243771255,-0.978755769816043,0.861091140853867,-0.863736792977765
"PC1 P-value",3.85007007755583e-05,0.0010486788764141,0.00249977296357006,1.68552793674014e-07,0.000662227626727603,0.000609761557134504
"PC2 Corr",-0.888401902182892,0.86086739040795,-0.794951451826952,-0.91361531935346,0.892214023949564,-0.773470447845473
"PC2 P-value",0.000257626376443837,0.000666816015188847,0.0034526027473403,8.44847924119182e-05,0.000221582921323371,0.00522801977169992
"PC3 Corr",0.0619798750110579,0.578458147304541,-0.0272130645588469,0.906628992000459,-0.692738135249809,-0.324332127971497
"PC3 P-value",0.856342735242463,0.0622805870465537,0.936696994994045,0.000118651348556234,0.0181292308539924,0.330517562995272
"PC4 Corr",-0.185282878566798,-0.0195591810101219,-0.018859146268688,0.556771565284391,-0.642683750728725,-0.00185655952933806
"PC4 P-value",0.585460497128331,0.95448244858922,0.956110171953781,0.0752290908216501,0.0329516498041238,0.995677557935095
"PC5 Corr",0.123991181954969,-0.428538237536239,-0.410323039210419,0.435577302150387,0.642510338377916,0.330613605141147
"PC5 P-value",0.71644093593367,0.188492037541864,0.210037131747911,0.180540253249433,0.0330142411381915,0.320685249412592
"PC1 Corr",0.927794364556159,0.845333475586054,0.810143243771255,0.978755769816043,0.861091140853867,0.863736792977765
"PC1 P-value",3.85007007755583e-05,0.0010486788764141,0.00249977296357006,1.68552793674014e-07,0.000662227626727603,0.000609761557134504
"PC2 Corr",0.888401902182892,0.86086739040795,0.794951451826952,0.91361531935346,0.892214023949564,0.773470447845473
"PC2 P-value",0.000257626376443837,0.000666816015188847,0.0034526027473403,8.44847924119182e-05,0.000221582921323371,0.00522801977169992
"PC3 Corr",0.0619798750110579,0.578458147304541,0.0272130645588469,0.906628992000459,0.692738135249809,0.324332127971497
"PC3 P-value",0.856342735242463,0.0622805870465537,0.936696994994045,0.000118651348556234,0.0181292308539924,0.330517562995272
"PC4 Corr",0.185282878566798,0.0195591810101219,0.018859146268688,0.556771565284391,0.642683750728725,0.00185655952933806
"PC4 P-value",0.585460497128331,0.95448244858922,0.956110171953781,0.0752290908216501,0.0329516498041238,0.995677557935095
"PC5 Corr",0.123991181954969,0.428538237536239,0.410323039210419,0.435577302150387,0.642510338377916,0.330613605141147
"PC5 P-value",0.71644093593367,0.188492037541864,0.210037131747911,0.180540253249433,0.0330142411381915,0.320685249412592
