"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",-0.867606950459705,-0.918136788576743,0.917599185404064,0.99101049478974,-0.436264175258323,-0.852355636242171
"PC1 P-value",0.000538744268913423,6.6775216940571e-05,6.87167687078469e-05,3.57788352415345e-09,0.179775457126502,0.000859926174757017
"PC2 Corr",-0.728026195237835,0.740885675923306,0.746679270859834,-0.82249771873638,0.157463126439273,-0.368490981214639
"PC2 P-value",0.0110796153063292,0.00909344812895542,0.00828923053292553,0.0018821078719018,0.643802267049661,0.26480654030446
"PC3 Corr",-0.265177672043986,-0.770352602239572,-0.0594772016612321,-0.850599315555728,-0.222941215336485,0.603733545480358
"PC3 P-value",0.430656238678229,0.00553267236258772,0.862094607971087,0.000904515491275774,0.509942161575981,0.0492025645035857
"PC4 Corr",-0.0317172857177558,0.324292230194751,-0.303693680520739,-0.0928998079594574,0.138544059044688,-0.0888369949128482
"PC4 P-value",0.926242117816943,0.330580520624869,0.363927562785181,0.785873512445675,0.684560387363078,0.795061994419819
"PC5 Corr",-0.144410973008023,0.347261762396964,0.444812582137701,-0.604661951299226,-0.603218270331032,-0.54851439045712
"PC5 P-value",0.671834314797097,0.29539902583138,0.170422637872056,0.0487616678581083,0.0494484446196111,0.080598282990546
"PC1 Corr",0.867606950459705,0.918136788576743,0.917599185404064,0.99101049478974,0.436264175258323,0.852355636242171
"PC1 P-value",0.000538744268913423,6.6775216940571e-05,6.87167687078469e-05,3.57788352415345e-09,0.179775457126502,0.000859926174757017
"PC2 Corr",0.728026195237835,0.740885675923306,0.746679270859834,0.82249771873638,0.157463126439273,0.368490981214639
"PC2 P-value",0.0110796153063292,0.00909344812895542,0.00828923053292553,0.0018821078719018,0.643802267049661,0.26480654030446
"PC3 Corr",0.265177672043986,0.770352602239572,0.0594772016612321,0.850599315555728,0.222941215336485,0.603733545480358
"PC3 P-value",0.430656238678229,0.00553267236258772,0.862094607971087,0.000904515491275774,0.509942161575981,0.0492025645035857
"PC4 Corr",0.0317172857177558,0.324292230194751,0.303693680520739,0.0928998079594574,0.138544059044688,0.0888369949128482
"PC4 P-value",0.926242117816943,0.330580520624869,0.363927562785181,0.785873512445675,0.684560387363078,0.795061994419819
"PC5 Corr",0.144410973008023,0.347261762396964,0.444812582137701,0.604661951299226,0.603218270331032,0.54851439045712
"PC5 P-value",0.671834314797097,0.29539902583138,0.170422637872056,0.0487616678581083,0.0494484446196111,0.080598282990546
