"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",-0.791870875490472,-0.879472163053105,-0.830160330545364,-0.975852174642877,-0.926771633189602,0.666311246144607
"PC1 P-value",0.00367464307264547,0.000359438488106362,0.00156133348548222,2.98731892448868e-07,4.09545436839735e-05,0.025176837232199
"PC2 Corr",0.49599546478358,-0.610502047992288,-0.110021597002411,0.728860550415631,-0.204730950438396,0.236441367685051
"PC2 P-value",0.120745032341908,0.0460503373072004,0.747431429469565,0.0109419963202555,0.545930422981631,0.483943182096869
"PC3 Corr",0.0111176166581193,-0.0132537294184689,0.119893896763218,-0.412928884678735,-0.22807951573367,-0.21667431124156
"PC3 P-value",0.974119591988484,0.969148864917251,0.72549291789354,0.20686919347402,0.499976570688379,0.52221081103556
"PC4 Corr",0.101589797447577,0.345771839126152,-0.230071744545603,0.281681543510068,0.297115700305061,0.213378087545482
"PC4 P-value",0.76630357408136,0.297615933271775,0.496135721819916,0.401383059162269,0.374926495162797,0.528713312342482
"PC5 Corr",0.0163876000884245,-0.0174218583586208,-0.232243626647361,0.43471501928989,0.301607569747911,0.0857335749462134
"PC5 P-value",0.961858186196519,0.959452624642567,0.491963319345479,0.181503160786829,0.367397594161224,0.802096545475466
"PC1 Corr",0.791870875490472,0.879472163053105,0.830160330545364,0.975852174642877,0.926771633189602,0.666311246144607
"PC1 P-value",0.00367464307264547,0.000359438488106362,0.00156133348548222,2.98731892448868e-07,4.09545436839735e-05,0.025176837232199
"PC2 Corr",0.49599546478358,0.610502047992288,0.110021597002411,0.728860550415631,0.204730950438396,0.236441367685051
"PC2 P-value",0.120745032341908,0.0460503373072004,0.747431429469565,0.0109419963202555,0.545930422981631,0.483943182096869
"PC3 Corr",0.0111176166581193,0.0132537294184689,0.119893896763218,0.412928884678735,0.22807951573367,0.21667431124156
"PC3 P-value",0.974119591988484,0.969148864917251,0.72549291789354,0.20686919347402,0.499976570688379,0.52221081103556
"PC4 Corr",0.101589797447577,0.345771839126152,0.230071744545603,0.281681543510068,0.297115700305061,0.213378087545482
"PC4 P-value",0.76630357408136,0.297615933271775,0.496135721819916,0.401383059162269,0.374926495162797,0.528713312342482
"PC5 Corr",0.0163876000884245,0.0174218583586208,0.232243626647361,0.43471501928989,0.301607569747911,0.0857335749462134
"PC5 P-value",0.961858186196519,0.959452624642567,0.491963319345479,0.181503160786829,0.367397594161224,0.802096545475466
