"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",0.651527490153932,-0.945200774062574,-0.913568004717195,-0.936015358529222,0.931684342080141,-0.952965958380072,0.92588912650609,0.913126806392009,-0.93026991349502,0.938270965743581,0.955994657759641
"VT02",NA,-0.628588475647008,-0.667771888235479,-0.530545111612975,0.759656010999829,-0.665498877414324,0.672196923156927,0.752216963550355,-0.683476057334188,0.740915321003058,0.675624267311591
"VT03",NA,NA,0.894149980221211,0.959490848374772,-0.955375996173799,0.961874044495056,-0.983186442191772,-0.935786508854069,0.882507760477904,-0.919043521133721,-0.946553233865525
"VT04",NA,NA,NA,0.881759389317158,-0.890668393381147,0.962462500583313,-0.855751832181406,-0.85724496888955,0.915791019281324,-0.905345781733378,-0.926744364987766
"VT05",NA,NA,NA,NA,-0.917849025925801,0.936495899906325,-0.942081925185803,-0.89097897673901,0.852589270442729,-0.905917962685081,-0.931098572240857
"VT06",NA,NA,NA,NA,NA,-0.932324708954383,0.976664566593903,0.928277788641575,-0.866553784587624,0.967393295425131,0.932543580188588
"VT07",NA,NA,NA,NA,NA,NA,-0.92851909030118,-0.933187479140236,0.929772083010732,-0.92764019139866,-0.965228726225371
"VT08",NA,NA,NA,NA,NA,NA,NA,0.91511182585846,-0.820887537974627,0.91870396013004,0.906810610979452
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,-0.923208276859726,0.944964802486064,0.968546192496156
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.923845983304655,-0.975267043817835
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96733716032506
