"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",2.51099922781474e-08,1.56261963896072e-07,4.68436605063118e-08,0.000222029615789068,0.00115497421330283,0.00335381479537144,1.02058378807726e-05,3.80946774113983e-11,4.14659503657873e-05,5.83298293723057e-09,4.14863628355219e-09
"VT02",NA,8.65727917027119e-05,2.94102218566666e-05,0.00149787857650048,0.000617104376931476,0.00465521567749402,5.24295193224261e-05,3.09974185705188e-09,1.12718163899821e-08,8.85838671068413e-08,1.94085591421585e-06
"VT03",NA,NA,9.24123517084653e-11,9.88197388497595e-06,0.0785266006060917,2.17239850157374e-06,0.00035444973760019,2.23850114716151e-05,0.000147376096641083,1.68715562556139e-06,2.78521949848104e-15
"VT04",NA,NA,NA,8.29389083945601e-07,0.00818051880524466,1.43313407959121e-05,0.000439336866648685,1.46159873965193e-06,0.000165849052365935,6.6271439262431e-08,1.02711539136018e-10
"VT05",NA,NA,NA,NA,0.00633519926483677,0.000681917618563396,0.0492844066474977,0.000157171568278111,0.0204868616064989,0.000316102111952731,1.16259761825126e-05
"VT06",NA,NA,NA,NA,NA,0.121008364843189,0.00168519947453969,3.09943681685816e-06,0.138923553722749,2.70095820993556e-05,0.0102968376856888
"VT07",NA,NA,NA,NA,NA,NA,0.00344688400496081,0.00286472217828073,0.00257633619954338,0.000541216633060646,8.97165773241575e-06
"VT08",NA,NA,NA,NA,NA,NA,NA,7.24258663010859e-07,0.000487000353144083,2.74386799048381e-10,1.41449827611182e-05
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.000115795257767317,5.23133196618364e-10,2.53400658102046e-07
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.71904001650791e-05,8.42523989464884e-06
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88168629648553e-09
