"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",-0.9765912460925,0.925060471275859,0.957298985271305,0.979348638350924,0.868426625636241,-0.93725533588323
"PC1 P-value",3.34447401818264e-18,5.23872971049128e-12,5.5248054046003e-15,7.0859038487778e-19,4.34351061410277e-09,6.0829752567564e-13
"PC2 Corr",-0.82315854038676,0.816026934911448,0.690827412555922,0.803864480705817,-0.367031371125363,-0.0129877591809671
"PC2 P-value",1.3517181652252e-07,2.12632450080232e-07,6.63441066189636e-05,4.41081292668428e-07,0.0596681304386381,0.948734907914237
"PC3 Corr",-0.597766867961303,0.509291819520691,0.684351124854479,0.933153349155041,-0.807482677744078,-0.361997128359367
"PC3 P-value",0.000992114875976558,0.00666250125499477,8.2614593754052e-05,1.31262932799184e-12,3.56919394438411e-07,0.0635273027222283
"PC4 Corr",0.225277890258295,-0.0829592662138897,0.0672333159118907,0.590687992765592,-0.706544350059593,-0.239193095934022
"PC4 P-value",0.258566266649425,0.680792616160934,0.738982658266434,0.00117894582427923,3.80451231542185e-05,0.229514351965228
"PC5 Corr",0.541186038040825,-0.130907481766579,-0.129964801967841,0.363498683411553,0.58289879199202,0.0428164865437205
"PC5 P-value",0.00355647751203748,0.51515088958914,0.518207419566892,0.0623565369085227,0.00141902534333527,0.832067707803303
