"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",0.971267780640463,0.922340419685079,0.951161732301415,0.981715819682025,-0.890668240047862,-0.881962351984506
"PC1 P-value",4.20981871573013e-17,8.05883010885414e-12,2.86327865871907e-14,1.56675309582338e-19,4.86217966861507e-10,1.20665975575833e-09
"PC2 Corr",-0.646756881385759,0.96160793549563,0.715257446189827,0.836976613491338,0.720952171227781,0.618372492889327
"PC2 P-value",0.000266994103801461,1.49623603837474e-15,2.75213962687939e-05,5.29288295568638e-08,2.212982705259e-05,0.000586488029337641
"PC3 Corr",0.0448248766323714,-0.573572423402717,0.621278180705346,0.747234764414165,-0.600683555005593,0.167917857070407
"PC3 P-value",0.824308542022331,0.001761067788723,0.000542979250999365,7.52609725991103e-06,0.00092295840560965,0.402475386268172
"PC4 Corr",0.222275574609153,-0.227068503108534,-0.0703597137981272,0.219949170053022,0.256605382473891,0.430570200551734
"PC4 P-value",0.26513447327989,0.254699754227312,0.727289966655119,0.270297492341893,0.196346811421183,0.0249631948298336
"PC5 Corr",0.410118220428877,-0.12273265029695,0.32769779675452,-0.274288215019486,-0.127560555615702,0.658156107202503
"PC5 P-value",0.033613428432246,0.541945607519236,0.0951900515075229,0.166197658580933,0.526042536043612,0.00019027303509568
