"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",-0.95155476404516,0.968261387276686,0.882692980531991,0.981159634509792,0.853375524887973,-0.914058430637044
"PC1 P-value",6.61673461460107e-06,1.01089538701988e-06,0.000319731129795324,9.852796151033e-08,0.000834805317981511,8.26062076928833e-05
"PC2 Corr",-0.775678072215081,0.753124699251813,0.362265905273545,0.914547651197136,-0.742311532411254,-0.799145376689378
"PC2 P-value",0.00501990680364557,0.00745694384735258,0.273583678129891,8.05694112642421e-05,0.00889046917029697,0.0031664996369223
"PC3 Corr",0.523209756584427,0.726123209910653,0.000942147623871188,0.894639567394796,0.0285252312880817,0.0646918556622047
"PC3 P-value",0.098621607775925,0.0113981847923288,0.997806485267331,0.000200736171664727,0.933650294225154,0.850116895230113
"PC4 Corr",-0.204373580358177,0.435222784055772,-0.213661498966413,0.540899453938347,-0.336887079403462,-0.558573351291615
"PC4 P-value",0.546646848040296,0.180935764409727,0.52815289611378,0.0857705378009461,0.311024329658861,0.0740901623808305
"PC5 Corr",0.0943466833543903,0.505790701281988,0.0248876196449928,0.583128616259767,0.0239875293216146,-0.475499929769592
"PC5 P-value",0.782607102837348,0.112447487162768,0.942098260765898,0.0597045605936594,0.944189482157104,0.139350636611947
