"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",0.949627991450701,0.981581075408414,0.917081349140311,0.990462962003712,-0.921261033360893,-0.820401523679867
"PC1 P-value",7.8640261410878e-06,8.90452297006337e-08,7.06274847466246e-05,4.66481367942529e-09,5.63082702309509e-05,0.00197784768432715
"PC2 Corr",-0.868950315418116,0.821657629064014,0.734535931106151,0.881224568342738,0.211786820877645,-0.257173552944893
"PC2 P-value",0.000515619791342771,0.00192005168418856,0.0100385675156553,0.000337397351604311,0.531864483873623,0.445208779362811
"PC3 Corr",-0.0835241196438558,-0.648101285230396,-0.0811524696277306,0.813201074917482,-0.634535346089309,-0.093304950710254
"PC3 P-value",0.807112816265976,0.0310378299732456,0.812504590174682,0.00233459767612082,0.0359835288976579,0.784958563295515
"PC4 Corr",0.342334433821059,-0.483764201557099,0.223858644973128,-0.316152336103756,0.226183754035773,0.20427375536442
"PC4 P-value",0.302765255599101,0.131644138003996,0.508156598077609,0.34355786213547,0.503643426518517,0.546847037014142
"PC5 Corr",0.605765466587852,0.563270309676005,0.220898424227804,-0.40667789496782,-0.152499946719932,0.0378104651096475
"PC5 P-value",0.0482411530432639,0.0711755920436875,0.513927638622678,0.214516602182953,0.654414910802691,0.912115987002428
"PC1 Corr",0.949627991450701,0.981581075408414,0.917081349140311,0.990462962003712,0.921261033360893,0.820401523679867
"PC1 P-value",7.8640261410878e-06,8.90452297006337e-08,7.06274847466246e-05,4.66481367942529e-09,5.63082702309509e-05,0.00197784768432715
"PC2 Corr",0.868950315418116,0.821657629064014,0.734535931106151,0.881224568342738,0.211786820877645,0.257173552944893
"PC2 P-value",0.000515619791342771,0.00192005168418856,0.0100385675156553,0.000337397351604311,0.531864483873623,0.445208779362811
"PC3 Corr",0.0835241196438558,0.648101285230396,0.0811524696277306,0.813201074917482,0.634535346089309,0.093304950710254
"PC3 P-value",0.807112816265976,0.0310378299732456,0.812504590174682,0.00233459767612082,0.0359835288976579,0.784958563295515
"PC4 Corr",0.342334433821059,0.483764201557099,0.223858644973128,0.316152336103756,0.226183754035773,0.20427375536442
"PC4 P-value",0.302765255599101,0.131644138003996,0.508156598077609,0.34355786213547,0.503643426518517,0.546847037014142
"PC5 Corr",0.605765466587852,0.563270309676005,0.220898424227804,0.40667789496782,0.152499946719932,0.0378104651096475
"PC5 P-value",0.0482411530432639,0.0711755920436875,0.513927638622678,0.214516602182953,0.654414910802691,0.912115987002428
