"","VT03","VT05","VT08","VT09","VT10","VT11"
"PC1 Corr",-0.891955005278258,-0.93210278694577,0.458101288918854,0.953938593370299,0.891384104885551,0.92805407369646
"PC1 P-value",0.000223902659331006,2.93753761730304e-05,0.156488993475531,5.29102987489111e-06,0.000229080770863594,3.78959328775478e-05
"PC2 Corr",0.574139334991416,-0.712325343600113,0.165438697826433,-0.313887327237625,0.103990934913145,0.217077285954562
"PC2 P-value",0.0647287235404919,0.0139099205180931,0.626873340726092,0.347215727208685,0.760917249820251,0.521418183830552
"PC3 Corr",-0.283053307487211,-0.410678584124,0.13492391402677,0.0800452413797502,-0.419117955265328,-0.37368383864997
"PC3 P-value",0.398995234296676,0.209603206969791,0.692450054742982,0.815024311175286,0.199459874521984,0.257608377568527
"PC4 Corr",-0.0916513057087047,-0.597029806699898,0.319934611561059,0.519632787913918,-0.170270536140038,-0.60672596524678
"PC4 P-value",0.788694577140453,0.0524676660160846,0.337495012345197,0.10136475538086,0.616694699556211,0.0477912182032761
"PC5 Corr",-0.174954519677778,-0.734233217514285,0.16121780254147,-0.396957376522959,-0.0847308850979331,0.321305514285881
"PC5 P-value",0.606884967832712,0.0100853355940355,0.635813092396101,0.226735974000114,0.804372197876129,0.335311550015819
"PC1 Corr",0.891955005278258,0.93210278694577,0.458101288918854,0.953938593370299,0.891384104885551,0.92805407369646
"PC1 P-value",0.000223902659331006,2.93753761730304e-05,0.156488993475531,5.29102987489111e-06,0.000229080770863594,3.78959328775478e-05
"PC2 Corr",0.574139334991416,0.712325343600113,0.165438697826433,0.313887327237625,0.103990934913145,0.217077285954562
"PC2 P-value",0.0647287235404919,0.0139099205180931,0.626873340726092,0.347215727208685,0.760917249820251,0.521418183830552
"PC3 Corr",0.283053307487211,0.410678584124,0.13492391402677,0.0800452413797502,0.419117955265328,0.37368383864997
"PC3 P-value",0.398995234296676,0.209603206969791,0.692450054742982,0.815024311175286,0.199459874521984,0.257608377568527
"PC4 Corr",0.0916513057087047,0.597029806699898,0.319934611561059,0.519632787913918,0.170270536140038,0.60672596524678
"PC4 P-value",0.788694577140453,0.0524676660160846,0.337495012345197,0.10136475538086,0.616694699556211,0.0477912182032761
"PC5 Corr",0.174954519677778,0.734233217514285,0.16121780254147,0.396957376522959,0.0847308850979331,0.321305514285881
"PC5 P-value",0.606884967832712,0.0100853355940355,0.635813092396101,0.226735974000114,0.804372197876129,0.335311550015819
