"","VT02","VT03","VT04","VT05","VT06","VT07","VT08","VT09","VT10","VT11","VT12"
"VT01",-0.211026954888886,0.0258686698631239,0.24369008198245,0.116259227674042,-0.120698668991597,0.0947906497550132,-0.102471158789467,0.147924674962437,-0.0239785636032528,-0.0615665813583372,-0.326415259457622
"VT02",NA,0.163867090782926,-0.478075499665532,-0.598122037340548,-0.508913521767196,-0.0779184938151933,-0.436750331470319,-0.456932798868829,-0.707534690934359,-0.453111527787215,0.599692242913634
"VT03",NA,NA,-0.108978799784285,0.276948951300772,-0.0791214248586955,0.468522588037221,0.235893853646015,0.331582130147126,0.0548904261997851,-0.178310773749235,-0.383569096737849
"VT04",NA,NA,NA,0.356192771498311,0.255543453656232,-0.307790150304447,-0.0271728979279188,0.331708894490217,0.35698115861804,0.496780639122735,-0.60196268238316
"VT05",NA,NA,NA,NA,0.643086189043121,0.193877779191101,0.246901061082099,0.709605728779514,0.216377664385884,0.142030726789465,-0.731433252666308
"VT06",NA,NA,NA,NA,NA,-0.111560372038347,0.480186685972324,0.662754664091947,0.0584259234132387,0.660548455143823,-0.533322926034696
"VT07",NA,NA,NA,NA,NA,NA,-0.178353081974021,0.467155764522437,0.28038769053796,-0.401321370728073,-0.121416812255737
"VT08",NA,NA,NA,NA,NA,NA,NA,0.161337988958695,0.167765610905299,0.409436218080437,-0.451633615637157
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.129282986994199,0.381159975507378,-0.78970805183556
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24332080250102,-0.194846837324729
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.411331754054564
"VT01",0.211026954888886,0.0258686698631239,0.24369008198245,0.116259227674042,0.120698668991597,0.0947906497550132,0.102471158789467,0.147924674962437,0.0239785636032528,0.0615665813583372,0.326415259457622
"VT02",NA,0.163867090782926,0.478075499665532,0.598122037340548,0.508913521767196,0.0779184938151933,0.436750331470319,0.456932798868829,0.707534690934359,0.453111527787215,0.599692242913634
"VT03",NA,NA,0.108978799784285,0.276948951300772,0.0791214248586955,0.468522588037221,0.235893853646015,0.331582130147126,0.0548904261997851,0.178310773749235,0.383569096737849
"VT04",NA,NA,NA,0.356192771498311,0.255543453656232,0.307790150304447,0.0271728979279188,0.331708894490217,0.35698115861804,0.496780639122735,0.60196268238316
"VT05",NA,NA,NA,NA,0.643086189043121,0.193877779191101,0.246901061082099,0.709605728779514,0.216377664385884,0.142030726789465,0.731433252666308
"VT06",NA,NA,NA,NA,NA,0.111560372038347,0.480186685972324,0.662754664091947,0.0584259234132387,0.660548455143823,0.533322926034696
"VT07",NA,NA,NA,NA,NA,NA,0.178353081974021,0.467155764522437,0.28038769053796,0.401321370728073,0.121416812255737
"VT08",NA,NA,NA,NA,NA,NA,NA,0.161337988958695,0.167765610905299,0.409436218080437,0.451633615637157
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.129282986994199,0.381159975507378,0.78970805183556
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24332080250102,0.194846837324729
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411331754054564
"VT01",0.533371991643348,0.939819315609623,0.47023276375887,0.733549370322696,0.723712435926886,0.781605450547799,0.764325378810948,0.664249270918236,0.94421031423486,0.857292179198271,0.327239297331113
"VT02",NA,0.630196781370288,0.136919093837756,0.05192585735135,0.109881822012196,0.819868550352609,0.17923534437466,0.157684759549394,0.0148684921845759,0.16163478761296,0.0511536782519154
"VT03",NA,NA,0.749758909806652,0.409674872981913,0.817127847067466,0.146074064596746,0.48498593470778,0.319183363915613,0.872651796359876,0.599891436535133,0.244217610045805
"VT04",NA,NA,NA,0.282301686101848,0.448200396909853,0.357162767044494,0.936790269517494,0.318987071553272,0.281161323999313,0.120065861377274,0.0500511189096499
"VT05",NA,NA,NA,NA,0.0328067142428265,0.567856222740202,0.464216438887806,0.0144484448818976,0.522794622664234,0.676988260825436,0.0105254566294501
"VT06",NA,NA,NA,NA,NA,0.744000406640719,0.134946117771036,0.0262541982835996,0.864512560920787,0.0269386398042628,0.0911302276091966
"VT07",NA,NA,NA,NA,NA,NA,0.599803469277876,0.147414541768331,0.403641703273327,0.221200846886469,0.722124648990437
"VT08",NA,NA,NA,NA,NA,NA,NA,0.635557929627854,0.621964096696264,0.21112177602845,0.163178769048996
"VT09",NA,NA,NA,NA,NA,NA,NA,NA,0.70479837992492,0.247443298417469,0.00383673189549976
"VT10",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470926931547374,0.56588453874685
"VT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208807435176705
