speaker	vow	q1	q2	q3
SF1	i:	-4.667	0.77	0.496
SF1	I	-2.456	0.61	0.33
SF1	E	-1.206	0.894	-0.135
SF1	er	-1.275	-1.119	0.69
SF1	A	0.359	2.455	-0.222
SF1	V	1.168	-2.108	1.406
SF1	a:	3.17	1.619	0.197
SF1	O	3.79	0.342	0.25
SF1	o:	1.572	-0.485	-1.044
SF1	U	0.756	-1.5	-0.018
SF1	u:	-1.211	-1.478	-1.949
SF2	i:	-4.025	0.859	0.357
SF2	I	0.07	1.059	-1.728
SF2	E	-2.213	0.761	0.852
SF2	er	0.93	2.833	-0.15
SF2	A	0.821	0.789	1.067
SF2	V	1.263	-0.355	-0.244
SF2	a:	2.969	-1.311	0.734
SF2	O	3.457	-0.123	0.332
SF2	o:	0.563	-1.075	-1.27
SF2	U	-0.692	-1.485	0.23
SF2	u:	-3.142	-1.952	-0.18
SF3	i:	-4.927	1.503	-0.249
SF3	I	-2.506	0.825	0.702
SF3	E	-2.228	1.618	0.384
SF3	er	-0.591	1	0.233
SF3	A	2.999	2.842	-0.608
SF3	V	0.961	-2.29	0.549
SF3	a:	3.46	0.546	-0.347
SF3	O	3.761	0.715	0.178
SF3	o:	1.378	-1.942	0.168
SF3	U	-0.179	-2.467	0.499
SF3	u:	-2.128	-2.351	-1.508
SM1	i:	-3.86	0.131	-0.41
SM1	I	-2.192	0.51	0.242
SM1	E	-1.334	0.636	0.4
SM1	er	-0.956	0.717	0.138
SM1	A	0.295	1.437	-0.184
SM1	V	1.169	-0.251	0.658
SM1	a:	2.659	0.542	0.038
SM1	O	4.26	0.294	-0.687
SM1	o:	1.761	-1.206	-0.001
SM1	U	-0.12	-1.448	0.895
SM1	u:	-1.683	-1.36	-1.09
SM2	i:	-4.777	0.879	0.298
SM2	I	-2.109	0.529	-0.67
SM2	E	-3.115	1.276	1.039
SM2	er	0	0	0
SM2	A	1.864	3.209	-1.3
SM2	V	0.396	-0.142	1.254
SM2	a:	4.175	0.694	0.084
SM2	O	4.816	-0.727	0.461
SM2	o:	0.915	-1.621	0.332
SM2	U	-0.449	-1.242	-0.214
SM2	u:	-1.715	-2.854	-1.285
SM3	i:	-5.047	-0.079	-1.551
SM3	I	-2.349	0.851	0.812
SM3	E	-1.74	2.176	0.584
SM3	er	-1.682	1.184	0.901
SM3	A	0.916	3.531	-0.801
SM3	V	-0.235	-1.979	1.453
SM3	a:	3.409	-0.213	0.709
SM3	O	5.066	0.298	-0.012
SM3	o:	3.725	-0.656	-1.246
SM3	U	-1.35	-2.657	0.999
SM3	u:	-0.714	-2.457	-1.849
