,PC1+PC2,PC1,PC2,PC3,Total
VT01,0.71244,0.5078,0.20464,0.12869,0.84113
VT02,0.82191,0.44898,0.37293,0.06979,0.8917
VT03,0.73195,0.51323,0.21872,0.11097,0.84292
VT04,0.74673,0.54429,0.20244,0.11228,0.85901
VT05,0.73728,0.45612,0.28116,0.11145,0.84873
VT06,0.63641,0.40772,0.22869,0.19232,0.82873
VT07,0.70557,0.42429,0.28128,0.08714,0.79271
VT08,0.75922,0.55842,0.2008,0.08247,0.84169
VT09,0.74005,0.58017,0.15988,0.10149,0.84154
VT10,0.69826,0.4201,0.27816,0.15478,0.85304
VT11,0.73085,0.54775,0.1831,0.09735,0.8282
VT12,0.83806,0.62058,0.21748,0.10572,0.94378
